player_id,team_id,of_def_flag,"Right Side(R), 8-16 ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Left Side(L), 8-16 ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Center(C), Less Than 8 ft.","Center(C), 8-16 ft.","Center(C), 16-24 ft.","Center(C), 24+ ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft."
Aaron Brooks,Chicago Bulls,def,2891.0,13288.0,2906.0,3569.0,4329.0,11535.0,2620.0,670.0,4782.0,3561.0,10352.0,1722.0,1178.0,4452.0
Aaron Brooks,Chicago Bulls,of,2465.0,12405.0,2240.0,2831.0,2972.0,7194.0,1559.0,277.0,3653.0,2848.0,8825.0,1528.0,881.0,3484.0
Aaron Gordon,Orlando Magic,def,6135.0,13286.0,7312.0,14290.0,5248.0,7003.0,4217.0,3108.0,11317.0,5124.0,6940.0,4839.0,3996.0,10543.0
Aaron Gordon,Orlando Magic,of,7176.0,15245.0,8029.0,15552.0,4924.0,7064.0,4080.0,3591.0,10906.0,5393.0,7198.0,4591.0,4076.0,11346.0
Adreian Payne,Minnesota Timberwolves,def,2904.0,6184.0,3170.0,5840.0,1757.0,1347.0,708.0,226.0,2532.0,1695.0,1091.0,711.0,158.0,2942.0
Adreian Payne,Minnesota Timberwolves,of,4253.0,9849.0,4329.0,8192.0,2665.0,2197.0,818.0,368.0,4421.0,2662.0,1790.0,785.0,288.0,4185.0
Al Horford,Atlanta Hawks,def,19429.0,34359.0,27455.0,35479.0,7523.0,4620.0,2011.0,969.0,15470.0,7800.0,4673.0,3431.0,1588.0,19334.0
Al Horford,Atlanta Hawks,of,18573.0,33009.0,26424.0,33694.0,7968.0,4562.0,2052.0,947.0,14732.0,7887.0,4919.0,3670.0,1727.0,18251.0
Al Jefferson,Charlotte Hornets,def,6379.0,11757.0,11754.0,13971.0,2173.0,1276.0,590.0,19.0,9091.0,2529.0,912.0,380.0,14.0,6083.0
Al Jefferson,Charlotte Hornets,of,5488.0,9988.0,10965.0,12324.0,1932.0,1156.0,475.0,7.0,9555.0,2109.0,866.0,316.0,17.0,5385.0
Al-Farouq Aminu,Portland Trail Blazers,def,10233.0,24270.0,11779.0,19907.0,10191.0,18841.0,5380.0,7889.0,15568.0,11197.0,16682.0,5158.0,7777.0,19177.0
Al-Farouq Aminu,Portland Trail Blazers,of,9868.0,22192.0,11761.0,20179.0,10346.0,18695.0,5156.0,7548.0,16857.0,9726.0,16671.0,4853.0,7025.0,17975.0
Alec Burks,Utah Jazz,def,5057.0,17950.0,4986.0,9021.0,6312.0,14294.0,4186.0,4587.0,7943.0,6372.0,12599.0,4300.0,4813.0,9146.0
Alec Burks,Utah Jazz,of,4878.0,17289.0,4510.0,8448.0,5722.0,13991.0,4359.0,4400.0,8068.0,5706.0,12629.0,3902.0,4130.0,7258.0
Alex Len,Phoenix Suns,def,11497.0,17192.0,16512.0,24477.0,6407.0,1693.0,617.0,2.0,13715.0,4028.0,1117.0,649.0,101.0,9928.0
Alex Len,Phoenix Suns,of,9619.0,15029.0,14086.0,21163.0,4212.0,1308.0,631.0,111.0,12154.0,3342.0,859.0,509.0,39.0,8652.0
Alexis Ajinca,New Orleans Pelicans,def,5602.0,8611.0,6930.0,10490.0,2471.0,989.0,191.0,15.0,4884.0,2970.0,991.0,269.0,15.0,4767.0
Alexis Ajinca,New Orleans Pelicans,of,7216.0,11391.0,8343.0,12760.0,3042.0,1334.0,367.0,45.0,6252.0,3660.0,1438.0,345.0,54.0,4972.0
Allen Crabbe,Portland Trail Blazers,def,7023.0,17550.0,7021.0,9499.0,10137.0,26316.0,7064.0,7410.0,13579.0,9786.0,25491.0,5954.0,6066.0,15432.0
Allen Crabbe,Portland Trail Blazers,of,6698.0,18530.0,6124.0,9071.0,9630.0,25811.0,6718.0,6982.0,13291.0,8751.0,25349.0,4772.0,6204.0,14313.0
Amir Johnson,Boston Celtics,def,13918.0,26907.0,14936.0,27695.0,6309.0,4041.0,992.0,579.0,9386.0,6004.0,3758.0,900.0,531.0,9259.0
Amir Johnson,Boston Celtics,of,13634.0,27173.0,16725.0,27276.0,5844.0,4197.0,990.0,394.0,10354.0,5759.0,3716.0,1029.0,353.0,9313.0
Andre Drummond,Detroit Pistons,def,21811.0,33870.0,35745.0,45541.0,5560.0,2736.0,794.0,64.0,15433.0,7143.0,2307.0,736.0,50.0,15190.0
Andre Drummond,Detroit Pistons,of,22353.0,32073.0,36586.0,47705.0,5888.0,2214.0,928.0,44.0,15940.0,7281.0,2334.0,634.0,143.0,14963.0
Andre Iguodala,Golden State Warriors,def,8922.0,20495.0,9704.0,13811.0,10097.0,18962.0,7307.0,2932.0,15899.0,9472.0,19309.0,8173.0,4695.0,16438.0
Andre Iguodala,Golden State Warriors,of,7910.0,20702.0,8094.0,12854.0,10390.0,18922.0,8092.0,2909.0,14004.0,8838.0,17295.0,7391.0,4069.0,13287.0
Andre Roberson,Oklahoma City Thunder,def,5087.0,11890.0,4856.0,11107.0,6748.0,14170.0,6823.0,12371.0,10131.0,6194.0,9754.0,4661.0,4641.0,10777.0
Andre Roberson,Oklahoma City Thunder,of,6571.0,12886.0,6023.0,12733.0,7585.0,16068.0,7608.0,12882.0,11178.0,7564.0,10116.0,5570.0,5493.0,11838.0
Andrew Bogut,Golden State Warriors,def,7235.0,15637.0,16653.0,26518.0,3655.0,2594.0,545.0,11.0,8042.0,3384.0,2632.0,1005.0,25.0,10038.0
Andrew Bogut,Golden State Warriors,of,8269.0,17638.0,18192.0,28348.0,3640.0,2718.0,707.0,2.0,9534.0,3671.0,2707.0,954.0,34.0,10228.0
Andrew Wiggins,Minnesota Timberwolves,def,10436.0,27549.0,10887.0,20496.0,13569.0,26084.0,7391.0,6089.0,19202.0,13246.0,21870.0,7444.0,4790.0,22689.0
Andrew Wiggins,Minnesota Timberwolves,of,8678.0,24529.0,9219.0,17708.0,12434.0,24479.0,6554.0,4638.0,19990.0,12693.0,23966.0,8122.0,6338.0,21390.0
Anthony Brown,Los Angeles Lakers,def,1629.0,3841.0,1272.0,2490.0,1937.0,5321.0,2126.0,2563.0,2702.0,1710.0,4528.0,1804.0,2406.0,2596.0
Anthony Brown,Los Angeles Lakers,of,1781.0,4971.0,1776.0,4004.0,2656.0,7344.0,3260.0,3582.0,4373.0,2603.0,6672.0,2572.0,3099.0,4254.0
Anthony Davis,New Orleans Pelicans,def,21697.0,38926.0,22146.0,28354.0,9824.0,5575.0,1994.0,674.0,15064.0,10508.0,4398.0,2189.0,423.0,16484.0
Anthony Davis,New Orleans Pelicans,of,20686.0,37036.0,20026.0,27176.0,10614.0,5548.0,2492.0,538.0,14611.0,9446.0,3797.0,1631.0,554.0,14408.0
Anthony Tolliver,Detroit Pistons,def,9956.0,17604.0,10844.0,15423.0,6345.0,7984.0,1975.0,3379.0,8217.0,5699.0,6933.0,2124.0,3076.0,7812.0
Anthony Tolliver,Detroit Pistons,of,9633.0,16486.0,10672.0,14994.0,5301.0,6677.0,1784.0,3509.0,7866.0,5312.0,7144.0,2168.0,4011.0,8311.0
Aron Baynes,Detroit Pistons,def,10493.0,11955.0,14973.0,18025.0,3294.0,767.0,291.0,12.0,7625.0,3424.0,636.0,163.0,17.0,6905.0
Aron Baynes,Detroit Pistons,of,10105.0,12666.0,15082.0,17582.0,3522.0,714.0,306.0,6.0,8015.0,3023.0,694.0,181.0,28.0,5857.0
Arron Afflalo,New York Knicks,def,6217.0,20297.0,6109.0,10316.0,9979.0,21337.0,8488.0,4442.0,14847.0,8830.0,19184.0,7442.0,3808.0,15567.0
Arron Afflalo,New York Knicks,of,5698.0,20655.0,5069.0,9010.0,9251.0,21214.0,9297.0,4329.0,14463.0,8525.0,17866.0,6429.0,3655.0,15526.0
Austin Rivers,Los Angeles Clippers,def,5052.0,20706.0,4583.0,6628.0,6618.0,15572.0,3842.0,3517.0,7257.0,6301.0,16442.0,4813.0,6171.0,6403.0
Austin Rivers,Los Angeles Clippers,of,5839.0,21021.0,4359.0,7640.0,6769.0,15330.0,3900.0,3027.0,7915.0,6052.0,16412.0,4173.0,5154.0,7628.0
Avery Bradley,Boston Celtics,def,6857.0,21764.0,4491.0,8499.0,9607.0,28072.0,8084.0,10677.0,9988.0,7797.0,18819.0,6756.0,7378.0,8880.0
Avery Bradley,Boston Celtics,of,7636.0,25663.0,4364.0,8421.0,10597.0,27438.0,8941.0,11128.0,10338.0,9916.0,21312.0,7341.0,6941.0,10540.0
Ben McLemore,Sacramento Kings,def,5258.0,14046.0,5676.0,10741.0,6342.0,14219.0,5174.0,4908.0,9013.0,6981.0,14586.0,4838.0,5102.0,9600.0
Ben McLemore,Sacramento Kings,of,5497.0,14145.0,5947.0,10686.0,6492.0,13170.0,4779.0,4561.0,9171.0,6526.0,14112.0,4787.0,5669.0,9756.0
Bismack Biyombo,Toronto Raptors,def,13395.0,20967.0,18367.0,33130.0,4723.0,1738.0,742.0,8.0,10368.0,8255.0,2488.0,971.0,52.0,12748.0
Bismack Biyombo,Toronto Raptors,of,15068.0,23400.0,20098.0,34805.0,4540.0,1943.0,673.0,93.0,10677.0,9817.0,2518.0,808.0,28.0,13018.0
Blake Griffin,Los Angeles Clippers,def,17869.0,30140.0,13104.0,21636.0,10254.0,7232.0,2136.0,167.0,13003.0,8994.0,5330.0,1394.0,422.0,10344.0
Blake Griffin,Los Angeles Clippers,of,18946.0,29466.0,13088.0,20808.0,11169.0,6802.0,1652.0,147.0,11762.0,8001.0,4521.0,1248.0,263.0,10489.0
Boban Marjanovic,San Antonio Spurs,def,3536.0,4181.0,4832.0,7128.0,1415.0,429.0,122.0,0.0,3510.0,1241.0,281.0,179.0,8.0,3461.0
Boban Marjanovic,San Antonio Spurs,of,2221.0,2757.0,2699.0,3897.0,937.0,232.0,20.0,0.0,2551.0,749.0,266.0,81.0,4.0,1621.0
Bobby Portis,Chicago Bulls,def,3321.0,6478.0,3619.0,6846.0,2020.0,1480.0,895.0,262.0,4082.0,1618.0,1652.0,807.0,351.0,3388.0
Bobby Portis,Chicago Bulls,of,3546.0,6822.0,3842.0,6396.0,1807.0,1761.0,878.0,545.0,3848.0,2120.0,1628.0,545.0,309.0,3798.0
Bojan Bogdanovic,Brooklyn Nets,def,5637.0,14386.0,5969.0,10131.0,8042.0,21976.0,5919.0,9819.0,13678.0,8187.0,18754.0,5439.0,10294.0,13535.0
Bojan Bogdanovic,Brooklyn Nets,of,5895.0,15586.0,5038.0,9012.0,8089.0,20954.0,5579.0,7430.0,12175.0,7883.0,18241.0,5560.0,9372.0,13259.0
Bradley Beal,Washington Wizards,def,4263.0,12540.0,3491.0,6865.0,5162.0,16745.0,4049.0,2267.0,6951.0,5779.0,13124.0,3881.0,2547.0,6924.0
Bradley Beal,Washington Wizards,of,4001.0,13005.0,3383.0,6431.0,4630.0,16658.0,4094.0,2103.0,5547.0,4873.0,12502.0,3294.0,2058.0,6311.0
Brandan Wright,Memphis Grizzlies,def,1721.0,2528.0,2184.0,2962.0,802.0,160.0,46.0,1.0,1448.0,830.0,157.0,52.0,1.0,1665.0
Brandan Wright,Memphis Grizzlies,of,2529.0,3342.0,3134.0,4104.0,889.0,211.0,80.0,12.0,1230.0,795.0,210.0,86.0,6.0,1961.0
Brandon Knight,Phoenix Suns,def,7461.0,35855.0,7348.0,13366.0,10089.0,30444.0,7848.0,3574.0,14008.0,10238.0,27529.0,6669.0,4193.0,14893.0
Brandon Knight,Phoenix Suns,of,8015.0,36365.0,7344.0,10964.0,10272.0,31768.0,7221.0,5056.0,13544.0,9207.0,25999.0,5411.0,3591.0,12968.0
Brook Lopez,Brooklyn Nets,def,20061.0,31719.0,26208.0,36962.0,7641.0,2783.0,1754.0,212.0,20441.0,8747.0,2747.0,1568.0,311.0,18598.0
Brook Lopez,Brooklyn Nets,of,19881.0,30602.0,25847.0,36537.0,7126.0,2558.0,1396.0,72.0,19737.0,9588.0,2999.0,1405.0,124.0,18346.0
Bruno Caboclo,Toronto Raptors,of,15.0,31.0,23.0,43.0,17.0,76.0,14.0,20.0,46.0,27.0,79.0,81.0,113.0,28.0
CJ McCollum,Portland Trail Blazers,def,8585.0,40032.0,8424.0,12992.0,11840.0,29123.0,9023.0,3282.0,17452.0,11162.0,27920.0,7442.0,3640.0,15862.0
CJ McCollum,Portland Trail Blazers,of,9088.0,40637.0,9670.0,11870.0,11905.0,29828.0,8218.0,3663.0,17033.0,11982.0,27651.0,7806.0,3159.0,16225.0
CJ Miles,Indiana Pacers,def,8677.0,21876.0,9217.0,13641.0,6286.0,13783.0,2643.0,1936.0,9273.0,8026.0,16756.0,3340.0,4090.0,11833.0
CJ Miles,Indiana Pacers,of,8875.0,21989.0,8879.0,14290.0,7143.0,15015.0,3112.0,2915.0,10917.0,7836.0,16436.0,3926.0,4684.0,10508.0
CJ Wilcox,Los Angeles Clippers,of,42.0,392.0,54.0,121.0,116.0,233.0,54.0,101.0,137.0,191.0,253.0,69.0,242.0,103.0
Cameron Payne,Oklahoma City Thunder,def,2803.0,12158.0,2136.0,3406.0,2723.0,7018.0,1280.0,1336.0,2798.0,2232.0,4995.0,1271.0,674.0,3116.0
Cameron Payne,Oklahoma City Thunder,of,2201.0,9484.0,1881.0,2941.0,2244.0,5744.0,1077.0,992.0,2283.0,2097.0,4236.0,1375.0,956.0,2853.0
Carmelo Anthony,New York Knicks,def,8024.0,20552.0,9189.0,20739.0,11951.0,23685.0,5987.0,1515.0,20786.0,12783.0,22504.0,7266.0,1899.0,24778.0
Carmelo Anthony,New York Knicks,of,8204.0,21292.0,9446.0,20307.0,11971.0,23778.0,6269.0,1443.0,20911.0,13192.0,21528.0,7103.0,1537.0,26111.0
Chandler Parsons,Dallas Mavericks,def,5958.0,15235.0,6234.0,9702.0,6061.0,14418.0,3541.0,5432.0,9655.0,6066.0,11624.0,2959.0,4437.0,10732.0
Chandler Parsons,Dallas Mavericks,of,6342.0,17363.0,6931.0,11292.0,7493.0,16533.0,3550.0,5884.0,12389.0,7192.0,14397.0,3321.0,5277.0,12227.0
Channing Frye,Orlando Magic,def,9273.0,17956.0,8159.0,12114.0,3611.0,4238.0,1121.0,775.0,5592.0,4013.0,4838.0,1416.0,1048.0,5814.0
Channing Frye,Orlando Magic,of,9159.0,18580.0,8987.0,13859.0,4670.0,4103.0,1517.0,913.0,6616.0,3540.0,4914.0,1422.0,1021.0,5799.0
Chris Paul,Los Angeles Clippers,def,10903.0,43724.0,10585.0,10374.0,9623.0,19820.0,3600.0,1606.0,9580.0,9530.0,16867.0,2948.0,1279.0,10348.0
Chris Paul,Los Angeles Clippers,of,10684.0,42422.0,10205.0,9885.0,9423.0,17726.0,3705.0,1799.0,10153.0,9409.0,16277.0,3371.0,1317.0,10509.0
Clint Capela,Houston Rockets,def,13414.0,20291.0,16214.0,28881.0,3982.0,1643.0,865.0,124.0,12260.0,4185.0,1401.0,792.0,79.0,11128.0
Clint Capela,Houston Rockets,of,14472.0,23082.0,18257.0,33430.0,4855.0,1980.0,966.0,53.0,14164.0,4975.0,1831.0,1320.0,68.0,12862.0
Cody Zeller,Charlotte Hornets,def,15928.0,21686.0,17719.0,27559.0,5152.0,2667.0,1308.0,363.0,10722.0,6932.0,3073.0,818.0,209.0,13779.0
Cody Zeller,Charlotte Hornets,of,16254.0,21004.0,17320.0,27011.0,5259.0,2870.0,996.0,321.0,10701.0,7420.0,2854.0,857.0,164.0,14516.0
Cole Aldrich,Los Angeles Clippers,def,3768.0,5557.0,4295.0,6030.0,1073.0,349.0,149.0,47.0,2225.0,1174.0,378.0,61.0,0.0,2123.0
Cole Aldrich,Los Angeles Clippers,of,4033.0,5630.0,5497.0,7058.0,1136.0,423.0,100.0,19.0,2530.0,1197.0,306.0,141.0,5.0,2216.0
Corey Brewer,Houston Rockets,def,5453.0,11889.0,5590.0,9526.0,6603.0,15522.0,5290.0,10130.0,9069.0,6736.0,13332.0,4567.0,6754.0,10528.0
Corey Brewer,Houston Rockets,of,4659.0,10816.0,4256.0,8593.0,6252.0,14819.0,4768.0,8213.0,8266.0,5363.0,12742.0,4551.0,7058.0,8983.0
Cory Joseph,Toronto Raptors,def,7002.0,34634.0,6954.0,10536.0,8186.0,18055.0,4772.0,2830.0,9225.0,7381.0,17740.0,5631.0,3962.0,9522.0
Cory Joseph,Toronto Raptors,of,6848.0,35146.0,6773.0,11618.0,8338.0,20114.0,5265.0,2798.0,10099.0,8078.0,17944.0,5559.0,3341.0,8819.0
Courtney Lee,Memphis Grizzlies,def,8144.0,18626.0,5208.0,7860.0,10187.0,24736.0,7202.0,6733.0,11184.0,10540.0,24110.0,6730.0,7790.0,13224.0
Courtney Lee,Memphis Grizzlies,of,7602.0,18801.0,5526.0,7789.0,11110.0,23798.0,7692.0,7821.0,12028.0,9847.0,23886.0,7483.0,9331.0,13120.0
Cristiano Felicio,Chicago Bulls,def,124.0,127.0,147.0,144.0,7.0,20.0,0.0,0.0,48.0,17.0,0.0,0.0,0.0,13.0
Cristiano Felicio,Chicago Bulls,of,73.0,289.0,86.0,148.0,13.0,44.0,26.0,0.0,17.0,113.0,45.0,0.0,0.0,42.0
D'Angelo Russell,Los Angeles Lakers,def,7883.0,33208.0,8281.0,14203.0,8076.0,25579.0,4228.0,2776.0,10439.0,7886.0,19796.0,3823.0,1889.0,9996.0
D'Angelo Russell,Los Angeles Lakers,of,7085.0,32894.0,7553.0,13620.0,8281.0,23905.0,4528.0,2219.0,10301.0,8291.0,19887.0,3537.0,2160.0,9787.0
D.J. Augustin,Oklahoma City Thunder,def,4280.0,16201.0,3810.0,3271.0,4370.0,9333.0,1822.0,1854.0,4795.0,3311.0,7865.0,1359.0,2795.0,3832.0
D.J. Augustin,Oklahoma City Thunder,of,3560.0,15401.0,3368.0,3423.0,3711.0,8960.0,1825.0,1267.0,4758.0,3314.0,7092.0,1557.0,1995.0,4497.0
Damian Lillard,Portland Trail Blazers,def,10803.0,50446.0,11560.0,13090.0,10363.0,24968.0,4680.0,2342.0,13023.0,9776.0,20871.0,4024.0,1439.0,14301.0
Damian Lillard,Portland Trail Blazers,of,9943.0,49192.0,10827.0,12974.0,9968.0,24991.0,4742.0,1940.0,13054.0,9294.0,20131.0,3542.0,1382.0,13463.0
Danilo Gallinari,Denver Nuggets,def,10225.0,26908.0,10691.0,18850.0,11164.0,18830.0,5566.0,3512.0,18499.0,10746.0,16789.0,5451.0,4911.0,17926.0
Danilo Gallinari,Denver Nuggets,of,10812.0,27290.0,10941.0,17591.0,10901.0,19538.0,5865.0,3531.0,16504.0,10862.0,17216.0,5989.0,4440.0,17913.0
Danny Green,San Antonio Spurs,def,4739.0,17103.0,4546.0,12527.0,6478.0,22014.0,5762.0,4821.0,9221.0,6202.0,17278.0,5256.0,4763.0,9446.0
Danny Green,San Antonio Spurs,of,4559.0,17600.0,5158.0,13740.0,7638.0,24041.0,5679.0,5683.0,9809.0,7347.0,21187.0,5853.0,6310.0,12225.0
Dante Cunningham,New Orleans Pelicans,def,5761.0,10143.0,6564.0,11135.0,5678.0,11124.0,4467.0,5555.0,9963.0,5995.0,10557.0,4297.0,7615.0,10926.0
Dante Cunningham,New Orleans Pelicans,of,5102.0,9193.0,6869.0,9441.0,5127.0,10189.0,3745.0,5724.0,8540.0,5217.0,9566.0,4001.0,5755.0,8739.0
Darrell Arthur,Denver Nuggets,def,12526.0,21320.0,12877.0,20960.0,7303.0,5399.0,2585.0,638.0,12067.0,7096.0,4576.0,2352.0,1132.0,13513.0
Darrell Arthur,Denver Nuggets,of,11020.0,18432.0,12484.0,19459.0,6856.0,5009.0,2355.0,829.0,11029.0,6519.0,4084.0,2482.0,1033.0,11016.0
Darren Collison,Sacramento Kings,def,8642.0,32308.0,7362.0,8173.0,8373.0,18144.0,4661.0,3259.0,8470.0,9277.0,16804.0,5339.0,2796.0,8619.0
Darren Collison,Sacramento Kings,of,8268.0,31747.0,6947.0,8345.0,9692.0,19861.0,5079.0,3571.0,9137.0,8930.0,16551.0,5118.0,2716.0,8817.0
Darrun Hilliard,Detroit Pistons,def,384.0,1418.0,327.0,566.0,784.0,1488.0,583.0,601.0,599.0,591.0,1275.0,572.0,367.0,744.0
Darrun Hilliard,Detroit Pistons,of,733.0,1226.0,433.0,674.0,870.0,1751.0,570.0,1085.0,766.0,639.0,1310.0,607.0,411.0,1194.0
David West,San Antonio Spurs,def,11119.0,16394.0,12089.0,17126.0,3983.0,1434.0,989.0,171.0,10213.0,4147.0,1448.0,1050.0,91.0,9038.0
David West,San Antonio Spurs,of,11203.0,15224.0,14184.0,18726.0,3889.0,1523.0,849.0,131.0,11203.0,3884.0,1500.0,679.0,336.0,7678.0
DeAndre Jordan,Los Angeles Clippers,def,18523.0,33010.0,24468.0,47492.0,6839.0,3928.0,1038.0,75.0,13013.0,8448.0,4048.0,1730.0,134.0,17439.0
DeAndre Jordan,Los Angeles Clippers,of,18027.0,32919.0,25153.0,47173.0,6686.0,4331.0,1519.0,75.0,13785.0,8188.0,3874.0,1351.0,31.0,15652.0
DeMar DeRozan,Toronto Raptors,def,10222.0,26566.0,9678.0,15376.0,12174.0,29243.0,7642.0,7590.0,20686.0,13007.0,23531.0,6141.0,4475.0,21841.0
DeMar DeRozan,Toronto Raptors,of,9801.0,25962.0,8970.0,16806.0,12238.0,28820.0,7921.0,7186.0,21758.0,12937.0,23466.0,5793.0,4404.0,21335.0
DeMarcus Cousins,Sacramento Kings,def,15466.0,26985.0,22216.0,33395.0,7661.0,8498.0,2215.0,237.0,13570.0,5520.0,6011.0,932.0,223.0,9720.0
DeMarcus Cousins,Sacramento Kings,of,15823.0,28281.0,22608.0,34245.0,7478.0,9053.0,2067.0,216.0,13426.0,5647.0,5460.0,765.0,148.0,11138.0
DeMarre Carroll,Toronto Raptors,def,5260.0,11546.0,4462.0,9313.0,5120.0,13826.0,2703.0,2629.0,5757.0,6084.0,14032.0,3689.0,3552.0,8103.0
DeMarre Carroll,Toronto Raptors,of,4997.0,11763.0,5371.0,9751.0,5889.0,14682.0,2963.0,2216.0,7903.0,6465.0,15995.0,4451.0,4009.0,9106.0
